ID,Name,Latitude,Longitude,Georeferencing_S_N,Still_Exists_,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,apportionmentConfidence,populationToPolygonSizeRating,areaType,bufferUnits,bufferUnit,bufferRadii,populationtotals_POPDENS_CY,populationtotals_TOTPOP_CY,Generations_GENBASE_CY,F5yearincrements_MEDAGE_CY,AgeDependency_SENIOR_CY_P,presenceofchildren_HU18HWF10_P,KeyUSFacts_MEDVAL_CY,KeyUSFacts_PCI_CY,raceandhispanicorigin_WHITE_CY_P,raceandhispanicorigin_BLACK_CY_P,raceandhispanicorigin_AMERIND_CY_P,raceandhispanicorigin_ASIAN_CY_P,raceandhispanicorigin_PACIFIC_CY_P,raceandhispanicorigin_OTHRACE_CY_P,raceandhispanicorigin_RACE2UP_CY_P,raceandhispanicorigin_DIVINDX_CY,raceandhispanicorigin_RACEBASECY,Policy_TOTHU_CY,disability_ACSHHDIS_P,households_ACSHHBPOV_P,householdincome_MEDHINC_CY
111,New Union Field/Beth-El Cemetery,40.695310300000003,-73.886782600000004,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,141,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,7003.600000000000364,2119.000000000000000,2119.000000000000000,41.399999999999999,15.050000000000001,48.710000000000001,812198.000000000000000,46239.000000000000000,45.539999999999999,2.450000000000000,0.850000000000000,5.140000000000000,0.090000000000000,29.920000000000002,15.949999999999999,83.700000000000003,2118.000000000000000,785.000000000000000,16.109999999999999,1.590000000000000,101165.000000000000000
112,Union Field Cemetery,40.693259900000001,-73.889182399999996,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,142,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,6583.800000000000182,1992.000000000000000,1992.000000000000000,41.299999999999997,15.109999999999999,50.560000000000002,838832.000000000000000,45570.000000000000000,42.219999999999999,2.360000000000000,1.310000000000000,4.820000000000000,0.100000000000000,32.579999999999998,16.620000000000001,84.000000000000000,1992.000000000000000,737.000000000000000,16.270000000000000,3.130000000000000,107225.000000000000000
113,Hungarian Union Field Cemetery,40.692777900000003,-73.885034399999995,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,143,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
115,Linden Hill Cemetery,40.711396399999998,-73.913565899999995,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,144,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,26755.099999999998545,8095.000000000000000,8095.000000000000000,36.799999999999997,11.710000000000001,55.430000000000000,946285.000000000000000,37820.000000000000000,40.060000000000002,3.310000000000000,1.630000000000000,9.779999999999999,0.060000000000000,31.920000000000002,13.230000000000000,85.500000000000000,8095.000000000000000,3305.000000000000000,17.739999999999998,15.590000000000000,77194.000000000000000
122,Maimonides Cemetery & Mount Hope Cemetery ,40.691991600000001,-73.870762099999993,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,145,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,22177.500000000000000,6710.000000000000000,6710.000000000000000,36.799999999999997,12.220000000000001,58.780000000000001,771396.000000000000000,32410.000000000000000,8.970000000000001,10.430000000000000,1.640000000000000,13.039999999999999,0.150000000000000,49.750000000000000,16.010000000000002,82.400000000000006,6709.000000000000000,2162.000000000000000,20.910000000000000,13.720000000000001,85294.000000000000000
124,Montefiore Cemetery,40.685735200000003,-73.742040599999996,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,146,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,8044.699999999999818,2434.000000000000000,2434.000000000000000,46.799999999999997,22.760000000000002,46.420000000000002,599880.000000000000000,48974.000000000000000,1.480000000000000,87.469999999999999,0.290000000000000,0.740000000000000,0.040000000000000,3.200000000000000,6.780000000000000,33.100000000000001,2434.000000000000000,832.000000000000000,29.530000000000001,4.170000000000000,128281.000000000000000
126,Cypress Hill Cemetery,40.699683399999998,-73.883298199999999,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,147,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,20650.500000000000000,6248.000000000000000,6248.000000000000000,39.500000000000000,14.900000000000000,49.560000000000002,792969.000000000000000,40709.000000000000000,55.329999999999998,2.660000000000000,1.010000000000000,4.110000000000000,0.030000000000000,24.969999999999999,11.890000000000001,80.299999999999997,6248.000000000000000,2530.000000000000000,19.969999999999999,7.900000000000000,86342.000000000000000
128,Ferris Family Burial Ground,40.838852899999999,-73.842226999999994,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,148,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,20237.400000000001455,6123.000000000000000,6123.000000000000000,34.799999999999997,11.600000000000000,64.890000000000001,656863.000000000000000,23668.000000000000000,10.940000000000000,11.789999999999999,2.010000000000000,33.890000000000001,0.200000000000000,30.430000000000000,10.730000000000000,87.700000000000003,6122.000000000000000,2062.000000000000000,34.920000000000002,32.310000000000002,43739.000000000000000
130,Calvary Cemetery (West),40.733552400000001,-73.930506800000003,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,149,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,3784.400000000000091,1145.000000000000000,1145.000000000000000,32.500000000000000,8.029999999999999,57.530000000000001,866667.000000000000000,41000.000000000000000,23.320000000000000,32.229999999999997,2.360000000000000,11.789999999999999,0.520000000000000,19.390000000000001,10.310000000000000,88.400000000000006,1144.000000000000000,201.000000000000000,13.640000000000001,10.609999999999999,60150.000000000000000
131,Calvary Cemetery (East),40.735157999999998,-73.913675200000000,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,150,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,5344.399999999999636,1617.000000000000000,1617.000000000000000,38.100000000000001,11.380000000000001,61.180000000000000,841837.000000000000000,34628.000000000000000,17.320000000000000,1.790000000000000,1.730000000000000,25.289999999999999,0.250000000000000,40.630000000000003,12.990000000000000,85.599999999999994,1617.000000000000000,590.000000000000000,11.369999999999999,5.050000000000000,61250.000000000000000
