ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
136,Rossville A.M.E Zion Church cemetery,40.5412763,-74.2203926,,Yes,172,1852,2024,1,11958,3618,39.6,14.4,57,666196,50696,80.13,1.93,0.11,7.71,0,2.87,7.24,49.3,1373,32.28,14,101048
137,Sailor's Snug Harbor Cemetery,40.6377002,-74.1004083,,Yes,193,1831,2024,1,6659.9,2015,48.3,26.65,46.01,818056,55111,52.75,13.9,0.69,10.17,0.1,7.25,15.14,78.4,627,19.76,12.45,108416
139,"St Johns Cemetery, Middle Village",40.7156927,-73.8664287,,Yes,145,1879,2024,1,3067.2,928,44.9,21.01,42.11,892308,53877,50.54,1.08,0.22,28.56,0,9.16,10.45,75.4,360,18.36,7.4,100688
140,Remsen Family Cemetery,40.712438,-73.8585137,,Yes,234,1790,2024,1,16499.3,4992,45.4,21.13,44.16,925253,55586,49.3,2,0.34,26.06,0,10.2,12.1,78.2,2101,18.9,7.46,109252
141,Washington Cemetery,40.6200387,-73.9769459,,Yes,174,1850,2024,1,20769.5,6284,26.8,10.36,63.51,1195860,29841,72.74,1.29,0.8,14.39,0.03,6.59,4.15,53.2,1913,22.58,15.63,68946
142,St. Raymond Old Cemetery,40.8337279,-73.8335076,,Yes,149,1875,2024,1,12245.5,3705,39.4,14.71,47.79,686813,42824,30.85,12.58,1.73,5.64,0.24,34.36,14.63,87,1481,34.27,14.05,91957
143,St. Raymond New Cemetery,40.822635,-73.832057,,Yes,73,1951,2024,1,2191.3,663,61,46.61,19.15,441667,7187,18.1,23.83,2.26,0.3,0.3,40.87,14.33,82,302,68.17,67.15,10238
144,"Jesuit Cemetery, Fordham University",40.8634325,-73.8858432,,Yes,177,1847,2024,1,40207,12165,27.2,12.12,58.38,578704,17124,25.11,20.72,1.42,5.01,0.1,33.27,14.36,88,3632,30.12,32.92,38934
145,Mount Judah Cemetery,40.6911332,-73.8925212,,Yes,116,1908,2024,1,4647,1406,37.4,11.52,59.07,920573,47088,29.3,4.62,1.14,3.91,0.07,41.11,19.84,83.3,473,13.38,2.68,113212
148,Sisters of Charity Cemetery,40.9133489,-73.9069927,,Yes,177,1847,2024,1,12523.2,3789,50.9,34.78,41.53,286111,35460,46.32,16.1,0.37,5.52,0.03,19.16,12.54,84,1496,37.8,9.44,70232
